id;latitude;longitude
flavigny-le-grand-et-beaurain;49.8909;3.66473
laon;49.5667;3.61667
saint-clement-02;49.7667;4.06667
dercy;49.7;3.68333
anguilcourt-le-sart;49.6833;3.43333
villers-en-prayeres;49.3833;3.66667
chalandry;49.6833;3.63333
laval-en-laonnois;49.5;3.6
fressancourt;49.6167;3.41667
sourd;49.8667;3.75
fontaine-notre-dame-02;49.8833;3.43333
chery-chartreuve;49.2667;3.61667
mortefontaine-02;49.3317;3.07611
serain;50.0167;3.36667
maast-et-violaine;49.2833;3.45
neuville-sur-ailette;49.4667;3.7
francilly-selency;49.85;3.23333
bezu-le-guery;49.0167;3.23333
marle;49.7333;3.76667
leme-02;49.8333;3.76667
cierges;49.1667;3.6
craonne;49.4333;3.78333
courtemont-varennes;49.0667;3.55
pommiers-02;49.4;3.26667
gland-02;49.05;3.46667
landouzy-la-cour;49.85;3.98333
montigny-les-conde;48.9833;3.56667
leuilly-sous-coucy;49.4833;3.33333
ploisy;49.3333;3.3
serval;49.35;3.68333
billy-sur-ourcq;49.2167;3.3
ambrief;49.3167;3.4
prisces;49.7833;3.86667
roupy;49.8167;3.18333
roncheres-02;49.15;3.6
lugny-02;49.7833;3.81667
chezy-en-orxois;49.1333;3.18333
dhuizel;49.3667;3.61667
etampes-sur-marne;49.0333;3.41667
vaux-en-vermandois;49.8167;3.15
boue;50.0167;3.7
fere;49.6667;3.36667
saint-michel-02;49.9167;4.13333
castres-02;49.8;3.23333
mesbrecourt-richecourt;49.7;3.55
beugneux;49.2333;3.41667
clermont-les-fermes;49.6667;3.95
condren;49.6167;3.28333
franqueville-02;49.81;3.80945
arcy-sainte-restitue;49.25;3.46667
burelles;49.7833;3.9
rocourt-saint-martin;49.15;3.38333
commenchon;49.6333;3.16667
voulpaix;49.8333;3.83333
bucy-les-cerny;49.5833;3.51667
renansart;49.7167;3.45
presles-et-boves;49.4;3.55
lavaqueresse;49.95;3.70833
cuffies;49.4167;3.31667
villequier-aumont;49.65;3.2
vendelles;49.9167;3.13333
attilly;49.85;3.16667
berlancourt-02;49.7787;3.75806
grisolles-02;49.15;3.35
courcelles-sur-vesle;49.3381;3.57195
sons-et-roncheres;49.75;3.66667
seringes-et-nesles;49.2;3.53333
grandlup-et-fay;49.6667;3.73333
coincy-02;49.1667;3.41667
marly-gomont;49.9;3.8
macogny;49.1667;3.23333
tartiers;49.4333;3.23333
gibercourt;49.7333;3.28333
pontru;49.9;3.21667
trelou-sur-marne;49.077;3.60695
ville-aux-bois-les-dizy;49.6612;3.99334
amigny-rouy;49.6;3.3
charmes-02;49.65;3.38333
viffort;48.9667;3.45
machecourt;49.6583;3.84167
nogent-l-artaud;48.9667;3.31667
tannieres;49.2833;3.55
saint-erme-outre-et-ramecourt;49.5167;3.85
jouaignes;49.3;3.5
vaucelles-et-beffecourt;49.5333;3.55
lesquielles-saint-germain;49.9333;3.61667
aizy-jouy;49.4348;3.51639
faucoucourt;49.5333;3.46667
chavigny-02;49.4333;3.3
veuilly-la-poterie;49.0833;3.21667
mezy-moulins;49.0667;3.5
gernicourt;49.4;3.86667
quincy-basse;49.5167;3.38333
sergy-02;49.1833;3.56667
toulis-et-attencourt;49.6833;3.73333
puiseux-en-retz;49.3;3.13333
leuze;49.85;4.15
crezancy;49.05;3.5
noyales;49.9;3.55
marigny-en-orxois;49.0667;3.21667
foreste;49.8167;3.1
wissignicourt;49.5333;3.43333
tavaux-et-pontsericourt;49.7333;3.91667
saponay;49.2167;3.48333
ebouleau;49.6667;3.86667
orainville;49.3833;4.01667
missy-les-pierrepont;49.6333;3.8
neuilly-saint-front;49.1667;3.26667
tergnier;49.65;3.3
ferte-milon;49.1667;3.11667
bassoles-aulers;49.5333;3.38333
verguier;49.9333;3.16667
ostel;49.4333;3.56667
sissy;49.8;3.43333
leury;49.4333;3.33333
croix-sur-ourcq;49.1667;3.35
pernant;49.3833;3.23333
etreux;49.9833;3.65
bruys;49.2667;3.56667
fontenelle-02;50.0333;3.86667
cerseuil;49.3333;3.51667
voharies;49.7833;3.8
saint-pierre-aigle;49.3167;3.18333
saint-martin-riviere;50.05;3.53333
nanteuil-notre-dame;49.2;3.4
selens;49.5;3.2
monthenault;49.4833;3.66667
saint-eugene-02;49.0167;3.53333
etouvelles;49.5333;3.58333
faverolles-02;49.2242;3.17639
lislet;49.6833;4.01667
vendeuil;49.7167;3.35
folembray;49.55;3.28333
courbes;49.6833;3.45
chacrise;49.3;3.4
serches;49.35;3.45
acy;49.35;3.41667
verneuil-sous-coucy;49.5333;3.31667
bazoches-sur-vesles;49.3073;3.61861
mauregny-en-haye;49.5333;3.8
